,date,plume_lat,plume_lon,emission,source_type,ipcc
0,19/10/2019,31.345644,-102.12144,864.704189,compressor,1B2 Oil & Natural Gas
1,21/10/2019,32.26435,-101.98257,241.749699,compressor,1B2 Oil & Natural Gas
2,22/10/2019,32.214143,-103.70878,695.797353,tank,1B2 Oil & Natural Gas
3,17/10/2019,32.138612,-103.60478,302.5589786,well,1B2 Oil & Natural Gas
4,21/10/2019,32.256526,-103.19416,409.773439,compressor,1B2 Oil & Natural Gas
5,27/09/2019,31.544838,-103.8047,309.0585211,tank,1B2 Oil & Natural Gas
6,02/11/2019,31.930857,-103.62789,392.265811,well,1B2 Oil & Natural Gas
7,27/10/2019,32.253736,-104.13475,227.40212,tank,1B2 Oil & Natural Gas
8,13/10/2019,32.776353,-104.47018,164.070969,pipeline,1B2 Oil & Natural Gas
9,12/10/2019,32.776353,-104.47018,164.070969,pipeline,1B2 Oil & Natural Gas
10,13/10/2019,32.7762803,-104.47018,112.730392,pipeline,1B2 Oil & Natural Gas
11,12/10/2019,32.7762803,-104.47018,112.730392,pipeline,1B2 Oil & Natural Gas
12,10/10/2019,31.610525,-101.87716,165.355028,pipeline,1B2 Oil & Natural Gas
13,01/11/2019,31.214262,-102.8069,85.777017,pipeline,1B2 Oil & Natural Gas
14,01/11/2019,31.122028,-102.76866,52.5436564,pipeline,1B2 Oil & Natural Gas
15,19/10/2019,31.448603,-101.74951,597.059115,pipeline,1B2 Oil & Natural Gas
16,17/10/2019,31.3696366,-103.6747,43.510864,processing,1B2 Oil & Natural Gas
17,20/10/2019,31.922872,-101.75699,513.798843,compressor,1B2 Oil & Natural Gas
18,06/10/2019,32.270139,-104.13132,368.1366908,tank,1B2 Oil & Natural Gas
19,26/10/2019,32.68461,-104.05053,248.36385,tank,1B2 Oil & Natural Gas
20,19/10/2019,32.244312,-103.71175,164.5896164,tank,1B2 Oil & Natural Gas
21,23/10/2019,31.764071,-103.28452,72.5950487,tank,1B2 Oil & Natural Gas
22,23/10/2019,31.841794,-103.31964,130.515414,tank,1B2 Oil & Natural Gas
23,19/10/2019,31.270607,-101.58417,398.986883,tank,1B2 Oil & Natural Gas
24,01/11/2019,31.147577,-102.99401,210.727349,well,1B2 Oil & Natural Gas
25,31/10/2019,31.084988,-103.32811,316.884325,tank,1B2 Oil & Natural Gas
26,11/10/2019,31.940656,-103.867,179.227633,tank,1B2 Oil & Natural Gas
27,26/10/2019,32.679497,-104.08669,562.608936,well,1B2 Oil & Natural Gas
28,02/11/2019,31.827863,-103.54287,130.143782,tank,1B2 Oil & Natural Gas
29,22/10/2019,32.605658,-103.30851,515.681212,compressor,1B2 Oil & Natural Gas
30,27/10/2019,32.28057,-104.30127,223.101332,well,1B2 Oil & Natural Gas
31,27/10/2019,32.049886,-104.05499,93.2086127,tank,1B2 Oil & Natural Gas
32,22/10/2019,32.768708,-103.37484,67.6976274,tank,1B2 Oil & Natural Gas
33,31/10/2019,31.317488,-103.34215,144.847855,pipeline,1B2 Oil & Natural Gas
34,10/10/2019,31.501222,-101.61078,386.779198,pipeline,1B2 Oil & Natural Gas
35,28/10/2019,31.051766,-102.90869,679.310183,pipeline,1B2 Oil & Natural Gas
36,26/10/2019,32.73616,-103.674,470.339832,pipeline,1B2 Oil & Natural Gas
37,25/10/2019,31.452099,-103.35711,218.148115,pipeline,1B2 Oil & Natural Gas
38,25/10/2019,31.3109073,-103.52354,217.643014,tank,1B2 Oil & Natural Gas
39,10/10/2019,31.658268,-102.11483,356.369557,well,1B2 Oil & Natural Gas
40,22/10/2019,32.803377,-103.46283,287.167643,pipeline,1B2 Oil & Natural Gas
41,18/10/2019,32.277651,-101.51102,216.17645,well,1B2 Oil & Natural Gas
42,23/09/2019,31.967093,-103.86324,540.0119141,compressor,1B2 Oil & Natural Gas
43,23/10/2019,31.946965,-103.01196,290.460021,pipeline,1B2 Oil & Natural Gas
